review_id,user_id,order_id,rating,text,platform,city,created_at
REV0004,U02708,ORD004016,4,Nice app. The cart flow is smooth and the offers are useful.,android,delhi_ncr,2024-07-16 12:19:40
REV0007,U00400,ORD005331,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,bengaluru,2024-07-20 04:34:46
REV0005,U02684,ORD010687,4,Consistent delivery experience. Will keep ordering from here.,ios,mumbai,2024-08-05 12:39:39
REV0008,U03718,ORD010970,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,android,mumbai,2024-08-06 11:13:10
REV0003,U01296,ORD012990,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,android,mumbai,2024-08-13 00:01:26
REV0011,U06251,ORD016931,4,Consistent delivery experience. Will keep ordering from here.,ios,hyderabad,2024-08-25 12:51:10
REV0022,U04464,ORD017406,4,Nice app. The cart flow is smooth and the offers are useful.,android,mumbai,2024-08-25 22:50:40
REV0020,U00623,ORD024896,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,ios,bengaluru,2024-09-18 13:29:35
REV0023,U00334,ORD027199,4,Consistent delivery experience. Will keep ordering from here.,android,pune,2024-09-25 01:41:35
REV0016,U05744,ORD027577,4,Nice app. The cart flow is smooth and the offers are useful.,ios,delhi_ncr,2024-09-25 15:48:31
REV0024,U03888,ORD027718,3,"Search feels a bit cluttered, but the order experience is solid overall.",android,mumbai,2024-09-26 09:53:39
REV0019,U05297,ORD029553,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,bengaluru,2024-10-01 21:20:07
REV0017,U05895,ORD041927,4,Consistent delivery experience. Will keep ordering from here.,android,pune,2024-11-04 21:19:28
REV0018,U05615,ORD044788,3,"Search feels a bit cluttered, but the order experience is solid overall.",web,pune,2024-11-13 19:22:13
REV0012,U04288,ORD045005,3,"Search feels a bit cluttered, but the order experience is solid overall.",android,mumbai,2024-11-14 10:55:35
REV0013,U04439,ORD045073,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,mumbai,2024-11-15 04:13:41
REV0021,U03349,ORD046847,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,web,mumbai,2024-11-19 02:15:46
REV0006,U00799,ORD048127,3,"Search feels a bit cluttered, but the order experience is solid overall.",web,mumbai,2024-11-22 20:35:19
REV0009,U04008,ORD049210,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,android,bengaluru,2024-11-26 22:26:24
REV0010,U03707,ORD054409,4,Nice app. The cart flow is smooth and the offers are useful.,web,mumbai,2024-12-09 13:00:36
REV0001,U05597,ORD059268,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,ios,bengaluru,2024-12-21 20:47:24
REV0015,U00954,ORD060750,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,web,delhi_ncr,2024-12-25 10:19:19
