item_id,restaurant_id,name,description,price
MI00001,R0001,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00002,R0001,Dal Makhani,Slow-cooked black lentils with butter,249
MI00003,R0001,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00004,R0001,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00005,R0002,Veg Thali,North Indian combo meal with roti and rice,269
MI00006,R0002,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00007,R0002,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00008,R0002,Dal Makhani,Slow-cooked black lentils with butter,249
MI00009,R0003,Podi Dosa,Dosa dusted with podi masala,159
MI00010,R0003,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00011,R0003,Masala Dosa,Crisp dosa with potato filling,149
MI00012,R0003,Mini Tiffin,Assorted breakfast platter,189
MI00013,R0004,Mini Tiffin,Assorted breakfast platter,189
MI00014,R0004,Masala Dosa,Crisp dosa with potato filling,149
MI00015,R0004,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00016,R0004,Podi Dosa,Dosa dusted with podi masala,159
MI00017,R0005,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00018,R0005,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00019,R0005,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00020,R0005,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00021,R0006,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00022,R0006,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00023,R0006,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00024,R0006,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00025,R0006,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00026,R0007,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00027,R0007,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00028,R0007,Pav Bhaji,Buttery bhaji served with pav,149
MI00029,R0007,Chicken Momos,Juicy steamed chicken momos,149
MI00030,R0008,Veg Momos,Steamed momos with red chutney,129
MI00031,R0008,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00032,R0008,Chicken Momos,Juicy steamed chicken momos,149
MI00033,R0008,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00034,R0008,Pav Bhaji,Buttery bhaji served with pav,149
MI00035,R0009,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00036,R0009,Sev Puri,Mumbai-style street snack,99
MI00037,R0009,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00038,R0009,Dahi Puri,Crispy puris with curd and chutneys,119
MI00039,R0009,Pani Puri Kit,Take-home golgappa set,129
MI00040,R0010,Sev Puri,Mumbai-style street snack,99
MI00041,R0010,Pani Puri Kit,Take-home golgappa set,129
MI00042,R0010,Dahi Puri,Crispy puris with curd and chutneys,119
MI00043,R0010,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00044,R0010,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00045,R0011,Rasmalai,Soft rasmalai in saffron milk,109
MI00046,R0011,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00047,R0011,Falooda,Rose falooda with ice cream,149
MI00048,R0011,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00049,R0011,Gulab Jamun,Warm gulab jamun with syrup,89
MI00050,R0012,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00051,R0012,Gulab Jamun,Warm gulab jamun with syrup,89
MI00052,R0012,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00053,R0012,Falooda,Rose falooda with ice cream,149
MI00054,R0013,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00055,R0013,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00056,R0013,Choco Lava Cake,Warm chocolate-filled cake,99
MI00057,R0013,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00058,R0013,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00059,R0014,Choco Lava Cake,Warm chocolate-filled cake,99
MI00060,R0014,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00061,R0014,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00062,R0014,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00063,R0014,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00064,R0015,Aloo Tikki Burger,Classic Indian veg burger,129
MI00065,R0015,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00066,R0015,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00067,R0015,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00068,R0015,Masala Fries,Fries tossed in Indian spice mix,99
MI00069,R0016,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00070,R0016,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00071,R0016,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00072,R0016,Aloo Tikki Burger,Classic Indian veg burger,129
MI00073,R0016,Masala Fries,Fries tossed in Indian spice mix,99
MI00074,R0017,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00075,R0017,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00076,R0017,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00077,R0017,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00078,R0017,Chicken Fried Rice,Classic fried rice with chicken,199
MI00079,R0018,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00080,R0018,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00081,R0018,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00082,R0018,Chicken Fried Rice,Classic fried rice with chicken,199
MI00083,R0019,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00084,R0019,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00085,R0019,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00086,R0019,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00087,R0019,Sprouts Chaat,Protein-rich sprout salad,149
MI00088,R0020,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00089,R0020,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00090,R0020,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00091,R0020,Sprouts Chaat,Protein-rich sprout salad,149
MI00092,R0020,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00093,R0021,Veg Thali,North Indian combo meal with roti and rice,269
MI00094,R0021,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00095,R0021,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00096,R0021,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00097,R0022,Veg Thali,North Indian combo meal with roti and rice,269
MI00098,R0022,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00099,R0022,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00100,R0022,Dal Makhani,Slow-cooked black lentils with butter,249
MI00101,R0023,Mini Tiffin,Assorted breakfast platter,189
MI00102,R0023,Filter Coffee,South Indian filter kaapi,59
MI00103,R0023,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00104,R0023,Podi Dosa,Dosa dusted with podi masala,159
MI00105,R0023,Masala Dosa,Crisp dosa with potato filling,149
MI00106,R0024,Filter Coffee,South Indian filter kaapi,59
MI00107,R0024,Masala Dosa,Crisp dosa with potato filling,149
MI00108,R0024,Podi Dosa,Dosa dusted with podi masala,159
MI00109,R0024,Mini Tiffin,Assorted breakfast platter,189
MI00110,R0025,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00111,R0025,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00112,R0025,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00113,R0025,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
