restaurant_id,name,cuisine_type,address,rating,owner_id
R0001,Punjabi Tadka,north_indian,"Shop 156, Jayanagar, Bengaluru",3.8,U05603
R0002,Royal Curry House,north_indian,"Shop 140, Whitefield, Bengaluru",4.3,U03509
R0003,Filter Coffee Stories,south_indian,"Shop 16, Whitefield, Bengaluru",4.3,U00914
R0004,Dosa Darbar,south_indian,"Shop 61, Jayanagar, Bengaluru",4.0,U00113
R0005,Hyderabadi Handi,biryani,"Shop 128, HSR Layout, Bengaluru",4.6,U02511
R0006,Dum Safar,biryani,"Shop 63, Indiranagar, Bengaluru",4.5,U02192
R0007,Nukkad Eats,street_food,"Shop 113, Indiranagar, Bengaluru",4.4,U06219
R0008,Bombay Bites,street_food,"Shop 27, Koramangala, Bengaluru",4.2,U05447
R0009,Raj Kachori Point,chaat,"Shop 217, HSR Layout, Bengaluru",3.8,U01978
R0010,Tangy Tales,chaat,"Shop 207, Whitefield, Bengaluru",3.8,U02620
R0011,Kulfi Collective,desserts,"Shop 7, Whitefield, Bengaluru",4.7,U00677
R0012,Mithai Studio,desserts,"Shop 135, Koramangala, Bengaluru",4.4,U02683
R0013,Crust Republic,pizza,"Shop 167, HSR Layout, Bengaluru",4.5,U00147
R0014,Oven Stories Local,pizza,"Shop 46, HSR Layout, Bengaluru",3.7,U04626
R0015,Stacked Bun Co.,burgers,"Shop 92, Jayanagar, Bengaluru",4.7,U03958
R0016,Patty Pe Charcha,burgers,"Shop 131, Indiranagar, Bengaluru",4.3,U00553
R0017,Hakka Stories,chinese,"Shop 104, Whitefield, Bengaluru",3.8,U04140
R0018,Dragon Wok Express,chinese,"Shop 192, Indiranagar, Bengaluru",4.4,U04968
R0019,Salad & Soul,healthy,"Shop 112, Koramangala, Bengaluru",3.8,U05206
R0020,Protein Pantry,healthy,"Shop 91, Jayanagar, Bengaluru",3.7,U02207
R0021,Royal Curry House,north_indian,"Shop 134, Ghatkopar, Mumbai",4.7,U05293
R0022,Dilli Zaika,north_indian,"Shop 9, Lower Parel, Mumbai",4.8,U04183
R0023,Anna Idli House,south_indian,"Shop 207, Lower Parel, Mumbai",3.8,U01650
R0024,Dosa Darbar,south_indian,"Shop 41, Andheri West, Mumbai",4.6,U05471
R0025,Biryani Junction,biryani,"Shop 38, Lower Parel, Mumbai",3.9,U04542
R0026,Hyderabadi Handi,biryani,"Shop 56, Powai, Mumbai",4.8,U01978
R0027,The Frankie Stop,street_food,"Shop 127, Ghatkopar, Mumbai",3.9,U04083
R0028,Nukkad Eats,street_food,"Shop 214, Andheri West, Mumbai",4.5,U05654
R0029,Tangy Tales,chaat,"Shop 34, Ghatkopar, Mumbai",3.9,U03479
R0030,Raj Kachori Point,chaat,"Shop 182, Ghatkopar, Mumbai",4.8,U00952
R0031,Sweet Cravings,desserts,"Shop 74, Powai, Mumbai",3.9,U06482
R0032,Kulfi Collective,desserts,"Shop 51, Ghatkopar, Mumbai",3.9,U01180
R0033,Oven Stories Local,pizza,"Shop 68, Ghatkopar, Mumbai",4.7,U01474
R0034,Cheese Burst Co.,pizza,"Shop 176, Andheri West, Mumbai",4.5,U02536
R0035,Patty Pe Charcha,burgers,"Shop 11, Powai, Mumbai",4.4,U03599
R0036,Stacked Bun Co.,burgers,"Shop 69, Ghatkopar, Mumbai",4.1,U00917
R0037,Wok & Bowl,chinese,"Shop 161, Andheri West, Mumbai",4.4,U05808
R0038,Hakka Stories,chinese,"Shop 90, Powai, Mumbai",4.8,U00413
R0039,Protein Pantry,healthy,"Shop 60, Bandra, Mumbai",4.6,U05252
R0040,Salad & Soul,healthy,"Shop 199, Andheri West, Mumbai",4.1,U04708
R0041,Ghar Ka Khana Co.,north_indian,"Shop 158, Dwarka, Delhi Ncr",4.4,U05785
R0042,Royal Curry House,north_indian,"Shop 78, Dwarka, Delhi Ncr",4.6,U05501
R0043,Dosa Darbar,south_indian,"Shop 152, Dwarka, Delhi Ncr",4.2,U02853
R0044,Udupi Breakfast Club,south_indian,"Shop 136, Noida Sector 62, Delhi Ncr",4.4,U05912
R0045,Biryani Junction,biryani,"Shop 152, Noida Sector 62, Delhi Ncr",3.8,U01218
R0046,Biryani Adda,biryani,"Shop 29, Saket, Delhi Ncr",4.4,U00836
R0047,Rolls & Rice,street_food,"Shop 15, Noida Sector 62, Delhi Ncr",3.7,U00876
R0048,The Frankie Stop,street_food,"Shop 51, Saket, Delhi Ncr",4.7,U03056
R0049,Chaat Junction,chaat,"Shop 106, Saket, Delhi Ncr",4.0,U04725
R0050,Tangy Tales,chaat,"Shop 216, Indirapuram, Delhi Ncr",4.6,U06359
R0051,Kulfi Collective,desserts,"Shop 38, Noida Sector 62, Delhi Ncr",3.8,U05975
R0052,Mithai Studio,desserts,"Shop 46, Noida Sector 62, Delhi Ncr",4.3,U00274
R0053,Cheese Burst Co.,pizza,"Shop 18, Dwarka, Delhi Ncr",4.5,U06293
R0054,Slice Junction,pizza,"Shop 80, Indirapuram, Delhi Ncr",4.3,U01698
R0055,Patty Pe Charcha,burgers,"Shop 6, Dwarka, Delhi Ncr",4.8,U04316
R0056,Burger Adda,burgers,"Shop 115, Indirapuram, Delhi Ncr",3.9,U04254
R0057,Wok & Bowl,chinese,"Shop 60, Gurugram Sector 56, Delhi Ncr",4.2,U00915
R0058,Dragon Wok Express,chinese,"Shop 50, Indirapuram, Delhi Ncr",4.1,U01152
R0059,Balanced Bowls,healthy,"Shop 210, Indirapuram, Delhi Ncr",3.9,U04883
R0060,Green Plate Kitchen,healthy,"Shop 98, Gurugram Sector 56, Delhi Ncr",4.4,U00875
R0061,Punjabi Tadka,north_indian,"Shop 80, Kukatpally, Hyderabad",4.5,U02212
R0062,Royal Curry House,north_indian,"Shop 146, Kukatpally, Hyderabad",4.5,U06445
R0063,Udupi Breakfast Club,south_indian,"Shop 116, Gachibowli, Hyderabad",4.0,U05227
R0064,Anna Idli House,south_indian,"Shop 192, Banjara Hills, Hyderabad",4.3,U01895
R0065,Biryani Adda,biryani,"Shop 117, Gachibowli, Hyderabad",4.4,U00502
R0066,Nawab Dum House,biryani,"Shop 71, Kukatpally, Hyderabad",3.9,U03242
R0067,Nukkad Eats,street_food,"Shop 10, Kondapur, Hyderabad",4.6,U03602
R0068,Street Treats Co.,street_food,"Shop 6, Madhapur, Hyderabad",4.7,U02629
R0069,Raj Kachori Point,chaat,"Shop 135, Kukatpally, Hyderabad",4.6,U01067
R0070,Golgappa Factory,chaat,"Shop 144, Kondapur, Hyderabad",3.8,U05928
R0071,Kulfi Collective,desserts,"Shop 210, Kukatpally, Hyderabad",4.3,U01468
